Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A16.02.011;Тенодез;st29.009;;;;;;;;;TRUE
A16.02.011.002;Тенодез с использованием анкерных фиксаторов;st29.012;;;;;;;;;TRUE
A16.02.012;Транспозиция мышцы;st29.011;;;;;;;;;TRUE
A16.02.012.001;Транспозиция невротизированной мышцы с использованием микрохирургической техники;st29.012;;;;;;;;;TRUE
A16.02.013;Аутотрансплантация мышцы;st10.001;st10.002;st29.012;;;;;;;TRUE
A16.02.014;Иссечение поверхностных мышечно-апоневротических тканей лица;st29.011;;;;;;;;;TRUE
A16.02.015;Миотомия;st29.011;;;;;;;;;TRUE
A16.02.016;Рассечение кольцевидной связки;st29.011;;;;;;;;;TRUE
A16.02.017;Пластика сухожильно-связочного аппарата стопы;st29.011;;;;;;;;;TRUE
A16.02.018;Иссечение подошвенного апоневроза;st29.009;;;;;;;;;TRUE
A16.02.019;Миопластика дефектов кости;st29.012;;;;;;;;;TRUE
A16.03.001;Репозиция и фиксация перелома скуловой кости;st29.010;;;;;;;;;TRUE
A16.03.002;Репозиция и фиксация верхнечелюстного и нижнечелюстного переломов;st29.011;;;;;;;;;TRUE
A16.03.003;Репозиция и фиксация альвеолярного перелома;st29.011;;;;;;;;;TRUE
A16.03.004;Репозиция и фиксация перелома костей глазницы;st29.011;;;;;;;;;TRUE
A16.03.005;Дистракция при переломе верхней челюсти;st29.009;;;;;;;;;TRUE
A16.03.006;Репозиция и фиксация перелома носовой кости;st29.009;;;;;;;;;TRUE
A16.03.007;Репозиция и фиксация перелома нижней челюсти;st29.009;;;;;;;;;TRUE
A16.03.008;Остеотомия лицевых костей;st29.011;;;;;;;;;TRUE
A16.03.009;Резекция лицевых костей;st29.012;;;;;;;;;TRUE
